bin, poly_hist, poly_shift, sample
          0,   32167982,   32167982,          0
          1,   32187059,   32187059,          0
          2,   32263020,   32423519,   10209321
          3,   32295351,   32343916,    9954776
          4,   32272292,   32348272,   13734490
          5,   32321760,   32318896,    2292152
          6,   32270468,   32345045,   10780656
          7,   32333346,   32336478,   10780025
          8,   32364713,   32119149,   10780656
          9,   32378923,   32098896,   10780025
         10,   32342469,   32002106,   10779592
         11,   32317475,   31700701,   10773733
         12,   32372970,   31689182,   10789785
         13,   32454314,   31689174,   10821653
         14,   32345100,   31689174,   10779628
         15,   31573977,   31689174,   10527083
         16,   30629245,   31689174,   10209321
         17,   29863570,   31689174,    9954776
         18,   41202944,   31689174,   13734490
         19,    6877122,   31689174,    2292152
         20,          0,   31689174,          0
         21,          0,   31689174,          0
         22,          0,   31689174,          0
         23,          0,   31689174,          0
